70055	 49904	4 mo. ago	Attestation Violation	3,751,481	117,233
12661	 116874	4 mo. ago	Attestation Violation	3,739,581	116,861
166799	 289357	5 mo. ago	Attestation Violation	3,549,952	110,936
66065 (Maoka)	 169688	6 mo. ago	Attestation Violation	3,360,802	105,025
19299	 136216	6 mo. ago	Proposer Violation	3,339,591	104,362
270651	 268377	8 mo. ago	Attestation Violation	3,065,150	95,785
62830	 172962	8 mo. ago	Attestation Violation	2,872,461	89,764
39710	 12660	9 mo. ago	Attestation Violation	2,834,210	88,569
88657	 88558	9 mo. ago	Attestation Violation	2,814,433	87,951
88632	 137252	9 mo. ago	Attestation Violation	2,814,146	87,942
88655	 270454	9 mo. ago	Attestation Violation	2,813,961	87,936
88656	 126797	9 mo. ago	Attestation Violation	2,812,801	87,900
203983	 87751	9 mo. ago	Attestation Violation	2,755,555	86,111
12954	 232727	9 mo. ago	Attestation Violation	2,724,285	85,133
12697	 46571	9 mo. ago	Attestation Violation	2,638,206	82,443
1859 (TetonBlocks)	 131638	9 mo. ago	Attestation Violation	2,624,392	82,012
261	 127589	10 mo. ago	Attestation Violation	2,535,251	79,226
42708	 197363	11 mo. ago	Attestation Violation	2,332,099	72,878
26987	 103522	1 yr. ago	Attestation Violation	2,176,803	68,025
26989	 165513	1 yr. ago	Attestation Violation	2,176,738	68,023
26988	 108925	1 yr. ago	Attestation Violation	2,176,004	68,000
26945	 204685	1 yr. ago	Attestation Violation	2,043,489	63,859
45276	 142516	1 yr. ago	Attestation Violation	2,029,833	63,432
27442	 130871	1 yr. ago	Attestation Violation	2,008,348	62,760
9230	 173466	1 yr. ago	Attestation Violation	1,978,692	61,834
161752	 20889	1 yr. ago	Attestation Violation	1,956,780	61,149
161751	 19758	1 yr. ago	Attestation Violation	1,956,770	61,149
78678	 128648	1 yr. ago	Attestation Violation	1,899,681	59,365
21613	 49881	1 yr. ago	Proposer Violation	1,856,963	58,030
169440	 103269	1 yr. ago	Proposer Violation	1,510,279	47,196
12981	 KatzeKatze	1 yr. ago	Attestation Violation	1,381,594	43,174
25893	 111788	1 yr. ago	Attestation Violation	1,379,971	43,124
25894	 138327	1 yr. ago	Attestation Violation	1,376,006	43,000
25895	 48904	1 yr. ago	Attestation Violation	1,376,001	43,000
26447	 31691	1 yr. ago	Attestation Violation	1,348,349	42,135
119315	 104819	1 yr. ago	Attestation Violation	1,322,971	41,342
67319	 123132	1 yr. ago	Attestation Violation	1,322,722	41,335
100190	 18368	1 yr. ago	Attestation Violation	1,232,592	38,518
3206	 7347	1 yr. ago	Attestation Violation	1,224,988	38,280
8776	 54833	1 yr. ago	Attestation Violation	1,130,722	35,335
66420	 61303	1 yr. ago	Attestation Violation	1,003,554	31,361
73292	 65386	1 yr. ago	Attestation Violation	906,882	28,340
63338	 68948	1 yr. ago	Proposer Violation	476,969	14,905
63338	 35018	1 yr. ago	Proposer Violation	476,904	14,903
17232	 66279	1 yr. ago	Attestation Violation	475,807	14,868
19017	 77243	1 yr. ago	Attestation Violation	475,805	14,868
24528	 64094	1 yr. ago	Attestation Violation	475,803	14,868
17189	 28872	1 yr. ago	Attestation Violation	475,802	14,868
17291	 28872	1 yr. ago	Attestation Violation	475,802	14,868
23179	 gabuwhale	1 yr. ago	Attestation Violation	475,798	14,868
17140	 46477	1 yr. ago	Attestation Violation	475,797	14,868
24703	 46477	1 yr. ago	Attestation Violation	475,797	14,868
17304	 36059	1 yr. ago	Attestation Violation	475,796	14,868
17228	 36059	1 yr. ago	Attestation Violation	475,796	14,868
17164	 61098	1 yr. ago	Attestation Violation	475,794	14,868
26201	 14712	1 yr. ago	Attestation Violation	475,793	14,868
26278	 3523	1 yr. ago	Attestation Violation	475,790	14,868
19001	 22116	1 yr. ago	Attestation Violation	475,789	14,868
24696	 22116	1 yr. ago	Attestation Violation	475,789	14,868
17395	 3395	1 yr. ago	Attestation Violation	475,787	14,868
18989	 3395	1 yr. ago	Attestation Violation	475,787	14,868
69873	 20457	1 yr. ago	Attestation Violation	457,585	14,299
71743	 18965	1 yr. ago	Attestation Violation	457,582	14,299
75699	 18965	1 yr. ago	Attestation Violation	457,582	14,299
75711	 32278	1 yr. ago	Attestation Violation	457,581	14,299
75723	 32278	1 yr. ago	Attestation Violation	457,581	14,299
75204	 44836	1 yr. ago	Attestation Violation	457,580	14,299
75212	 44836	1 yr. ago	Attestation Violation	457,580	14,299
75045	 24678	1 yr. ago	Attestation Violation	457,579	14,299
75172	 24678	1 yr. ago	Attestation Violation	457,579	14,299
72807	 52592	1 yr. ago	Attestation Violation	457,578	14,299
72674	 52592	1 yr. ago	Attestation Violation	457,578	14,299
72511	 4276	1 yr. ago	Attestation Violation	457,577	14,299
72508	 4276	1 yr. ago	Attestation Violation	457,577	14,299
72503	 33972	1 yr. ago	Attestation Violation	457,576	14,299
72496	 33972	1 yr. ago	Attestation Violation	457,576	14,299
72491	 55133	1 yr. ago	Attestation Violation	457,575	14,299
72493	 55133	1 yr. ago	Attestation Violation	457,575	14,299
72421	 30689	1 yr. ago	Attestation Violation	457,574	14,299
72082	 30689	1 yr. ago	Attestation Violation	457,574	14,299
