,blockHash,blockNumber,timestamp,blockReward,blockMevReward,producerReward,feeRecipient,gasLimit,gasUsed,baseFee,txCount,internalTxCount,uncleCount,parentHash,uncleHash,difficulty,posConsensus,relay,consensusAlgorithm,tag,builderPubkey,producerFeeRecipient
69,0xcd37f9c86ca62249b3c646a1c99f7ea443eeac7540be78d8917f06823eaebec1,16157921,1670718887,128637140246885800,128380654555136800,128380654555136800,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,30000000,10287379,12213604369,107,61,0,0x8de56f57c4ce66cd94827eb232b173e8249541f633f3bac1f04e5c71c7936c5c,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157921, 'proposerIndex': 269022, 'slot': 5324572, 'epoch': 166392, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0x81beef03aafd3dd33ffd7deb337407142c80fea2690e5b3190cfc01bde5753f28982a7857c96172a75a234cb7bcb994f', 'producerFeeRecipient': '0xeee27662c2b8eba3cd936a23f039f3189633e4c8'}",pos,,,
70,0x8de56f57c4ce66cd94827eb232b173e8249541f633f3bac1f04e5c71c7936c5c,16157920,1670718875,50801981950594976,50533071006859976,50533071006859976,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,30000000,9455301,12805283035,111,55,0,0xa265a99458bc34ad766cf4bab4ca36c3f00c241c7d74fa1ba61849603277f793,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157920, 'proposerIndex': 156163, 'slot': 5324571, 'epoch': 166392, 'finalized': True}","{'tag': 'agnostic-relay', 'builderPubkey': '0x81beef03aafd3dd33ffd7deb337407142c80fea2690e5b3190cfc01bde5753f28982a7857c96172a75a234cb7bcb994f', 'producerFeeRecipient': '0x123b9747ede9db10f64e0c5c6fd0f5ac68a0a806'}",pos,,,
71,0xa265a99458bc34ad766cf4bab4ca36c3f00c241c7d74fa1ba61849603277f793,16157919,1670718863,57419352723003028,57153202542108066,57153202542108066,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,30000000,22659179,12037003342,101,53,0,0x295f49354819908d20b861610378dab45691a315dbd7e3a4d414743404b44841,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157919, 'proposerIndex': 332324, 'slot': 5324570, 'epoch': 166392, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0x81babeec8c9f2bb9c329fd8a3b176032fe0ab5f3b92a3f44d4575a231c7bd9c31d10b6328ef68ed1e8c02a3dbc8e80f9', 'producerFeeRecipient': '0x388c818ca8b9251b393131c08a736a67ccb19297'}",pos,,,
72,0x295f49354819908d20b861610378dab45691a315dbd7e3a4d414743404b44841,16157918,1670718851,55542818576315214,57596562844860410,57596562844860410,0x473780deaf4a2ac070bbba936b0cdefe7f267dfc,30000000,12683684,12273922364,117,122,0,0xeb8cf42446ce4e4366af0601355fb6e2aac3207a91f2022329063438813fc579,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157918, 'proposerIndex': 122725, 'slot': 5324569, 'epoch': 166392, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0xa1daf0ab37a9a204bc5925717f78a795fa2812f8fba8bda10b1b27c554bd7dedd46775106facd72be748eea336f514e9', 'producerFeeRecipient': '0xebec795c9c8bbd61ffc14a6662944748f299cacf'}",pos,,,
73,0xeb8cf42446ce4e4366af0601355fb6e2aac3207a91f2022329063438813fc579,16157917,1670718839,121363753484537442,120013682889285859,120013682889285859,0x690b9a9e9aa1c9db991c7721a92d351db4fac990,30000000,13753601,12402745443,127,75,0,0x98e22045fbad0df6eb1f0c593a18c2e4582c4706dc8148d7c519c68343264e10,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157917, 'proposerIndex': 18724, 'slot': 5324568, 'epoch': 166392, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0xb194b2b8ec91a71c18f8483825234679299d146495a08db3bf3fb955e1d85a5fca77e88de93a74f4e32320fc922d3027', 'producerFeeRecipient': '0x7224e2887d20c4286f928d43f2c2aeb94bbcd500'}",pos,,,
74,0x98e22045fbad0df6eb1f0c593a18c2e4582c4706dc8148d7c519c68343264e10,16157916,1670718827,49509296429163510,49756186486538510,49756186486538510,0x690b9a9e9aa1c9db991c7721a92d351db4fac990,30000000,10910245,12840361550,118,55,0,0xa502f9d308e396ca3f078691cf69a344bb24fce14088ff644a81da8e70bed948,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157916, 'proposerIndex': 413939, 'slot': 5324567, 'epoch': 166392, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0xb194b2b8ec91a71c18f8483825234679299d146495a08db3bf3fb955e1d85a5fca77e88de93a74f4e32320fc922d3027', 'producerFeeRecipient': '0xe688b84b23f322a994a53dbf8e15fa82cdb71127'}",pos,,,
75,0xa502f9d308e396ca3f078691cf69a344bb24fce14088ff644a81da8e70bed948,16157915,1670718815,27697318281694389,30052638035188328,30052638035188328,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,30000000,11409846,13236366501,110,56,0,0xc60e6bc1129036bfc89863f106575a925b20a96c46496fde1af94698ff7b43a4,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157915, 'proposerIndex': 465647, 'slot': 5324566, 'epoch': 166392, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0xa1dead01e65f0a0eee7b5170223f20c8f0cbf122eac3324d61afbdb33a8885ff8cab2ef514ac2c7698ae0d6289ef27fc', 'producerFeeRecipient': '0x51a1449b3b6d635eddec781cd47a99221712de97'}",pos,,,
76,0xc60e6bc1129036bfc89863f106575a925b20a96c46496fde1af94698ff7b43a4,16157914,1670718803,24065259631374020,24751747515376170,24751747515376170,0xf2f5c73fa04406b1995e397b55c24ab1f3ea726c,30000000,29613567,11799434601,107,29,0,0x43e2f016485a8cc90efbc34d904b665205c14a16a08cefbcf3896ccd9c6a55a3,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157914, 'proposerIndex': 285464, 'slot': 5324565, 'epoch': 166392, 'finalized': True}","{'tag': 'bloxroute-max-profit-relay', 'builderPubkey': '0x8b8edce58fafe098763e4fabdeb318d347f9238845f22c507e813186ea7d44adecd3028f9288048f9ad3bc7c7c735fba', 'producerFeeRecipient': '0x801c3cf25d7c06204d7c24357f2b6a49b66f1003'}",pos,,,
77,0x43e2f016485a8cc90efbc34d904b665205c14a16a08cefbcf3896ccd9c6a55a3,16157913,1670718791,27443939532837080,27182727835041080,27182727835041080,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,30000000,8833245,12438652276,111,50,0,0xee940e03c9aef17250f846a496046e531b3f82af84c82bc7fb489f00ed48714e,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157913, 'proposerIndex': 176996, 'slot': 5324564, 'epoch': 166392, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0x81beef03aafd3dd33ffd7deb337407142c80fea2690e5b3190cfc01bde5753f28982a7857c96172a75a234cb7bcb994f', 'producerFeeRecipient': '0x4675c7e5baafbffbca748158becba61ef3b0a263'}",pos,,,
78,0xee940e03c9aef17250f846a496046e531b3f82af84c82bc7fb489f00ed48714e,16157912,1670718779,31494690812173481,31494690812173481,31494690812173481,0x6d2e03b7effeae98bd302a9f836d0d6ab0002766,30000000,16632715,12271684252,107,88,0,0x834b022a6b012cd2a5fb419d595df93a641ba1c59b23d2fa73845dbd19eeb9c5,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157912, 'proposerIndex': 470314, 'slot': 5324563, 'epoch': 166392, 'finalized': True}","{'tag': 'blocknative-relay', 'builderPubkey': '0x9000009807ed12c1f08bf4e81c6da3ba8e3fc3d953898ce0102433094e5f22f21102ec057841fcb81978ed1ea0fa8246', 'producerFeeRecipient': '0x6d2e03b7effeae98bd302a9f836d0d6ab0002766'}",pos,,,
